freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.447e+01,4.423e+02,1.772e+01,4.745e+02
1.5,4.942e+01,2.611e+02,4.141e+01,3.519e+02
3.1,5.662e+01,2.662e+01,3.952e+01,1.228e+02
4.6,5.942e+01,3.264e+02,3.922e+01,4.250e+02
6.2,5.375e+01,1.203e+03,3.388e+01,1.291e+03
7.7,5.132e+01,1.998e+03,3.447e+01,2.084e+03
9.2,4.977e+01,2.869e+03,3.345e+01,2.953e+03
10.8,4.868e+01,4.052e+03,3.327e+01,4.134e+03
12.3,5.025e+01,5.562e+03,3.392e+01,5.646e+03
13.9,5.049e+01,7.007e+03,3.600e+01,7.094e+03
15.4,4.958e+01,8.221e+03,3.517e+01,8.306e+03
17.0,4.872e+01,9.947e+03,3.454e+01,1.003e+04
18.5,5.247e+01,1.275e+04,3.887e+01,1.284e+04
20.0,4.864e+01,1.566e+04,4.119e+01,1.575e+04
21.6,5.238e+01,1.885e+04,3.572e+01,1.894e+04
23.1,5.081e+01,2.290e+04,3.735e+01,2.299e+04
24.7,4.846e+01,2.727e+04,4.519e+01,2.737e+04
26.2,5.180e+01,3.260e+04,5.261e+01,3.271e+04
27.7,5.936e+01,3.978e+04,5.545e+01,3.989e+04
29.3,5.987e+01,4.797e+04,5.390e+01,4.808e+04
30.8,6.201e+01,5.802e+04,5.597e+01,5.813e+04
32.4,6.715e+01,7.055e+04,5.897e+01,7.068e+04
33.9,6.000e+01,8.181e+04,8.515e+01,8.195e+04
35.4,7.501e+01,9.026e+04,1.558e+02,9.049e+04
37.0,8.893e+01,1.046e+05,2.523e+02,1.049e+05
38.5,8.711e+01,1.256e+05,3.346e+02,1.260e+05
40.1,7.600e+01,1.488e+05,3.285e+02,1.492e+05
41.6,7.341e+01,1.818e+05,3.703e+02,1.823e+05
43.1,7.150e+01,2.314e+05,5.193e+02,2.320e+05
44.7,8.034e+01,3.060e+05,8.422e+02,3.070e+05
46.2,1.642e+02,4.125e+05,1.336e+03,4.140e+05
47.8,8.248e+02,5.751e+05,2.013e+03,5.779e+05
49.3,3.974e+03,8.549e+05,3.149e+03,8.620e+05
50.9,8.018e+03,1.195e+06,5.668e+03,1.209e+06
52.4,9.976e+03,1.583e+06,1.079e+04,1.603e+06
53.9,1.084e+04,1.671e+06,1.473e+04,1.696e+06
55.5,9.580e+03,1.428e+06,1.280e+04,1.450e+06
57.0,5.378e+03,1.228e+06,8.872e+03,1.242e+06
58.6,1.766e+03,1.009e+06,7.658e+03,1.018e+06
60.1,5.242e+02,7.748e+05,8.209e+03,7.836e+05
61.6,6.158e+02,6.150e+05,9.675e+03,6.253e+05
63.2,1.158e+03,4.813e+05,1.019e+04,4.926e+05
64.7,1.808e+03,3.469e+05,9.621e+03,3.584e+05
66.3,2.976e+03,2.518e+05,8.848e+03,2.636e+05
67.8,4.042e+03,2.046e+05,7.324e+03,2.160e+05
69.3,2.568e+03,1.658e+05,4.165e+03,1.725e+05
70.9,1.119e+03,1.248e+05,2.535e+03,1.284e+05
72.4,6.908e+02,9.534e+04,2.239e+03,9.827e+04
74.0,8.490e+02,7.607e+04,2.733e+03,7.966e+04
75.5,9.636e+02,6.015e+04,3.548e+03,6.466e+04
77.1,6.620e+02,4.537e+04,3.431e+03,4.947e+04
78.6,5.997e+02,3.414e+04,3.058e+03,3.780e+04
80.1,6.648e+02,2.540e+04,3.162e+03,2.923e+04
81.7,7.754e+02,1.842e+04,3.757e+03,2.295e+04
83.2,1.145e+03,1.507e+04,4.874e+03,2.109e+04
84.8,2.033e+03,2.136e+04,6.564e+03,2.995e+04
86.3,2.473e+03,4.199e+04,4.177e+03,4.864e+04
87.8,2.196e+03,5.468e+04,2.683e+03,5.956e+04
89.4,2.067e+03,5.171e+04,5.646e+03,5.942e+04
90.9,1.647e+03,4.554e+04,8.667e+03,5.585e+04
92.5,1.113e+03,4.193e+04,1.296e+04,5.600e+04
94.0,5.195e+02,5.853e+04,2.198e+04,8.103e+04
95.5,1.696e+02,9.577e+04,2.917e+04,1.251e+05
97.1,1.442e+02,1.182e+05,3.093e+04,1.493e+05
98.6,2.073e+02,1.221e+05,2.960e+04,1.519e+05
100.2,2.987e+02,1.224e+05,2.617e+04,1.489e+05
101.7,4.680e+02,1.167e+05,2.142e+04,1.386e+05
103.2,6.898e+02,1.138e+05,1.784e+04,1.324e+05
104.8,8.607e+02,1.153e+05,1.483e+04,1.310e+05
106.3,9.461e+02,1.137e+05,1.266e+04,1.273e+05
107.9,1.016e+03,1.081e+05,1.105e+04,1.202e+05
109.4,1.017e+03,1.018e+05,1.005e+04,1.129e+05
111.0,1.029e+03,9.413e+04,9.619e+03,1.048e+05
112.5,1.003e+03,8.424e+04,9.385e+03,9.463e+04
114.0,1.035e+03,7.786e+04,9.580e+03,8.847e+04
115.6,1.173e+03,7.359e+04,9.684e+03,8.445e+04
117.1,1.324e+03,6.938e+04,9.275e+03,7.997e+04
118.7,1.398e+03,6.590e+04,8.492e+03,7.579e+04
120.2,1.498e+03,6.292e+04,8.396e+03,7.282e+04
121.7,1.699e+03,5.922e+04,8.336e+03,6.926e+04
123.3,1.840e+03,5.567e+04,8.577e+03,6.608e+04
124.8,2.027e+03,5.195e+04,9.081e+03,6.306e+04
126.4,2.563e+03,4.696e+04,9.075e+03,5.860e+04
127.9,3.207e+03,4.260e+04,8.389e+03,5.419e+04
129.4,3.650e+03,4.001e+04,7.403e+03,5.107e+04
131.0,3.445e+03,3.685e+04,6.370e+03,4.666e+04
132.5,2.377e+03,2.356e+04,4.546e+03,3.048e+04
134.1,1.043e+03,5.090e+03,2.384e+03,8.518e+03
135.6,8.929e+02,3.034e+03,1.539e+03,5.466e+03
137.2,9.877e+02,2.957e+03,1.212e+03,5.157e+03
138.7,1.043e+03,1.738e+03,1.753e+03,4.534e+03
140.2,8.709e+02,1.240e+03,1.618e+03,3.729e+03
141.8,7.937e+02,1.283e+03,1.438e+03,3.515e+03
143.3,8.768e+02,1.208e+03,1.662e+03,3.746e+03
144.9,1.053e+03,1.184e+03,2.044e+03,4.281e+03
146.4,1.190e+03,1.203e+03,2.194e+03,4.586e+03
147.9,1.228e+03,1.294e+03,2.110e+03,4.632e+03
149.5,1.389e+03,1.664e+03,2.278e+03,5.331e+03
151.0,1.348e+03,1.694e+03,2.296e+03,5.338e+03
152.6,1.312e+03,1.922e+03,2.620e+03,5.854e+03
154.1,1.718e+03,2.530e+03,3.699e+03,7.948e+03
