freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.637e+01,2.842e+02,3.092e+02,6.098e+02
1.5,1.891e+01,1.715e+02,1.774e+02,3.678e+02
3.1,1.243e+01,2.107e+01,2.599e+01,5.948e+01
4.6,1.211e+01,2.068e+01,3.366e+02,3.694e+02
6.2,1.128e+01,2.297e+01,1.244e+03,1.278e+03
7.7,1.193e+01,2.228e+01,2.084e+03,2.118e+03
9.2,1.328e+01,2.193e+01,3.137e+03,3.173e+03
10.8,1.374e+01,2.530e+01,4.718e+03,4.757e+03
12.3,2.673e+01,2.478e+01,7.089e+03,7.140e+03
13.9,6.515e+01,2.658e+01,9.506e+03,9.597e+03
15.4,5.963e+01,3.289e+01,1.055e+04,1.064e+04
16.9,3.049e+01,3.338e+01,1.198e+04,1.204e+04
18.5,1.724e+01,3.189e+01,1.562e+04,1.566e+04
20.0,2.314e+01,3.207e+01,2.056e+04,2.062e+04
21.6,4.154e+01,4.018e+01,2.664e+04,2.673e+04
23.1,6.807e+01,4.044e+01,3.349e+04,3.360e+04
24.6,5.055e+01,4.034e+01,4.324e+04,4.334e+04
26.2,2.505e+01,2.249e+02,5.793e+04,5.818e+04
27.7,2.931e+01,9.457e+02,7.851e+04,7.949e+04
29.2,1.127e+02,2.364e+03,1.117e+05,1.142e+05
30.8,4.324e+02,6.028e+03,1.652e+05,1.716e+05
32.3,1.322e+03,1.639e+04,2.450e+05,2.627e+05
33.9,2.354e+03,3.911e+04,3.328e+05,3.743e+05
35.4,3.032e+03,7.656e+04,3.816e+05,4.612e+05
36.9,5.070e+03,1.265e+05,3.670e+05,4.986e+05
38.5,7.729e+03,1.841e+05,3.269e+05,5.187e+05
40.0,9.606e+03,2.278e+05,2.687e+05,5.061e+05
41.6,1.374e+04,2.577e+05,2.091e+05,4.805e+05
43.1,1.505e+04,2.772e+05,1.602e+05,4.524e+05
44.6,1.315e+04,2.884e+05,1.195e+05,4.211e+05
46.2,1.227e+04,3.173e+05,9.446e+04,4.241e+05
47.7,1.299e+04,3.703e+05,8.791e+04,4.712e+05
49.3,1.394e+04,4.264e+05,9.508e+04,5.354e+05
50.8,1.468e+04,4.752e+05,1.136e+05,6.035e+05
52.3,1.389e+04,4.927e+05,1.374e+05,6.440e+05
53.9,1.404e+04,5.840e+05,1.765e+05,7.746e+05
55.4,1.384e+04,7.042e+05,2.345e+05,9.525e+05
57.0,1.208e+04,7.278e+05,2.798e+05,1.020e+06
58.5,1.013e+04,6.628e+05,2.879e+05,9.608e+05
60.0,7.621e+03,5.913e+05,2.762e+05,8.752e+05
61.6,5.414e+03,5.406e+05,2.674e+05,8.135e+05
63.1,3.842e+03,4.772e+05,2.489e+05,7.300e+05
64.7,2.877e+03,3.964e+05,2.168e+05,6.161e+05
66.2,2.727e+03,2.940e+05,1.744e+05,4.711e+05
67.7,4.033e+03,1.989e+05,1.367e+05,3.396e+05
69.3,5.233e+03,1.395e+05,1.110e+05,2.557e+05
70.8,5.470e+03,9.518e+04,8.615e+04,1.868e+05
72.4,5.600e+03,6.129e+04,6.417e+04,1.311e+05
73.9,5.605e+03,4.104e+04,4.980e+04,9.645e+04
75.4,4.638e+03,3.084e+04,4.297e+04,7.845e+04
77.0,3.578e+03,2.802e+04,4.314e+04,7.474e+04
78.5,3.644e+03,3.114e+04,5.100e+04,8.578e+04
80.0,3.942e+03,4.003e+04,6.957e+04,1.135e+05
81.6,4.112e+03,5.259e+04,9.607e+04,1.528e+05
83.1,4.102e+03,6.602e+04,1.265e+05,1.966e+05
84.7,3.929e+03,6.774e+04,1.303e+05,2.020e+05
86.2,3.040e+03,6.530e+04,1.218e+05,1.901e+05
87.7,2.958e+03,6.023e+04,1.087e+05,1.719e+05
89.3,4.153e+03,7.110e+04,1.241e+05,1.994e+05
90.8,2.431e+03,7.768e+04,1.396e+05,2.197e+05
92.4,1.207e+03,7.395e+04,1.372e+05,2.124e+05
93.9,1.362e+03,6.901e+04,1.289e+05,1.992e+05
95.4,1.785e+03,6.473e+04,1.210e+05,1.875e+05
97.0,2.176e+03,6.022e+04,1.138e+05,1.762e+05
98.5,2.491e+03,5.498e+04,1.046e+05,1.620e+05
100.1,2.967e+03,5.435e+04,1.011e+05,1.585e+05
101.6,3.639e+03,5.401e+04,9.908e+04,1.567e+05
103.1,5.285e+03,5.327e+04,9.634e+04,1.549e+05
104.7,6.849e+03,5.157e+04,9.265e+04,1.511e+05
106.2,9.628e+03,4.970e+04,8.864e+04,1.480e+05
107.8,1.334e+04,4.783e+04,8.472e+04,1.459e+05
109.3,1.703e+04,4.554e+04,8.022e+04,1.428e+05
110.8,2.057e+04,4.327e+04,7.539e+04,1.392e+05
112.4,2.213e+04,3.988e+04,6.801e+04,1.300e+05
113.9,2.353e+04,3.771e+04,6.335e+04,1.246e+05
115.5,2.481e+04,3.747e+04,6.204e+04,1.243e+05
117.0,2.272e+04,3.747e+04,6.110e+04,1.213e+05
118.5,1.890e+04,3.750e+04,6.014e+04,1.165e+05
120.1,1.606e+04,3.783e+04,5.915e+04,1.130e+05
121.6,1.504e+04,3.821e+04,5.783e+04,1.111e+05
123.2,1.389e+04,3.806e+04,5.655e+04,1.085e+05
124.7,1.257e+04,3.695e+04,5.447e+04,1.040e+05
126.2,1.259e+04,3.575e+04,5.238e+04,1.007e+05
127.8,1.348e+04,3.441e+04,5.017e+04,9.807e+04
129.3,1.409e+04,3.310e+04,4.791e+04,9.509e+04
130.8,1.369e+04,3.007e+04,4.342e+04,8.718e+04
132.4,1.300e+04,2.181e+04,3.183e+04,6.664e+04
133.9,1.245e+04,6.766e+03,9.004e+03,2.822e+04
135.5,1.327e+04,2.629e+03,2.396e+03,1.829e+04
137.0,1.426e+04,2.511e+03,2.296e+03,1.907e+04
138.5,1.433e+04,2.096e+03,1.986e+03,1.841e+04
140.1,1.274e+04,1.781e+03,1.705e+03,1.623e+04
141.6,1.163e+04,1.395e+03,1.454e+03,1.448e+04
143.2,1.054e+04,1.120e+03,1.315e+03,1.297e+04
144.7,1.046e+04,1.241e+03,1.377e+03,1.308e+04
146.2,1.075e+04,1.443e+03,1.770e+03,1.396e+04
147.8,7.897e+03,1.328e+03,1.783e+03,1.101e+04
149.3,5.945e+03,1.250e+03,1.634e+03,8.829e+03
150.9,4.991e+03,1.400e+03,1.717e+03,8.108e+03
152.4,4.418e+03,1.595e+03,1.719e+03,7.732e+03
153.9,4.129e+03,1.733e+03,1.584e+03,7.446e+03
155.5,3.992e+03,1.827e+03,1.431e+03,7.251e+03
157.0,4.003e+03,1.784e+03,1.349e+03,7.136e+03
158.6,4.125e+03,1.637e+03,1.230e+03,6.991e+03
160.1,4.317e+03,1.553e+03,1.222e+03,7.092e+03
161.6,4.172e+03,1.408e+03,1.158e+03,6.738e+03
163.2,4.235e+03,1.446e+03,1.292e+03,6.973e+03
164.7,5.823e+03,1.641e+03,1.491e+03,8.954e+03
166.3,5.768e+03,1.387e+03,1.394e+03,8.549e+03
167.8,5.252e+03,1.214e+03,1.606e+03,8.072e+03
169.3,4.882e+03,1.187e+03,1.844e+03,7.912e+03
170.9,4.423e+03,1.109e+03,2.051e+03,7.583e+03
172.4,3.563e+03,1.266e+03,2.339e+03,7.168e+03
174.0,3.148e+03,1.392e+03,2.509e+03,7.049e+03
175.5,3.814e+03,1.491e+03,2.627e+03,7.932e+03
177.0,5.744e+03,1.734e+03,2.870e+03,1.035e+04
178.6,4.138e+03,1.994e+03,3.099e+03,9.230e+03
180.1,1.447e+03,2.344e+03,3.407e+03,7.199e+03
181.6,9.964e+02,2.542e+03,3.445e+03,6.984e+03
183.2,1.485e+03,2.704e+03,3.663e+03,7.853e+03
184.7,1.865e+03,2.757e+03,3.581e+03,8.203e+03
186.3,1.641e+03,2.720e+03,3.421e+03,7.782e+03
187.8,1.481e+03,2.653e+03,3.361e+03,7.495e+03
189.3,1.288e+03,2.525e+03,3.232e+03,7.045e+03
190.9,1.159e+03,2.383e+03,3.213e+03,6.755e+03
192.4,1.085e+03,2.505e+03,3.545e+03,7.136e+03
194.0,9.797e+02,2.670e+03,3.987e+03,7.636e+03
195.5,8.295e+02,2.661e+03,4.370e+03,7.861e+03
197.0,7.331e+02,2.450e+03,4.284e+03,7.467e+03
198.6,5.749e+02,2.508e+03,4.570e+03,7.653e+03
